post_id,account_id,timestamp,text,hashtags,replies_count,likes_count,shares_count,target_account_id
p001,a001,2026-02-11T12:00:10+00:00,Share this before they delete it. The report is being buried.,"#alert,#report",2,5,8,a004
p002,a002,2026-02-11T12:00:32+00:00,Share this before they delete it. The report is being buried.,"#alert,#report",1,4,6,a004
p003,a003,2026-02-11T12:01:14+00:00,Share this before they delete it. The report is being buried.,"#alert,#report",0,3,5,a004
p004,a006,2026-02-11T12:01:49+00:00,Share this before they delete it. The report is being buried.,"#alert,#report",1,4,6,a004
p005,a007,2026-02-11T12:01:58+00:00,Share this before they delete it. The report is being buried.,"#alert,#report",0,4,5,a004
p006,a004,2026-02-11T11:56:00+00:00,New thread: reviewing the latest document claims and public evidence.,#analysis,16,150,35,
p007,a005,2026-02-11T11:58:20+00:00,Watching an unusual spike in phrase reuse around one topic cluster.,#analysis,8,121,22,
p008,a008,2026-02-11T12:03:00+00:00,Watching an unusual spike in phrase reuse around one topic cluster.,#analysis,3,42,8,
p009,a001,2026-02-11T13:10:00+00:00,More people need to post this now. Share this before they delete it.,#alert,0,2,2,a004
p010,a002,2026-02-11T13:10:25+00:00,More people need to post this now. Share this before they delete it.,#alert,0,2,2,a004
p011,a003,2026-02-11T13:10:42+00:00,More people need to post this now. Share this before they delete it.,#alert,0,2,2,a004
p012,a006,2026-02-11T13:11:05+00:00,More people need to post this now. Share this before they delete it.,#alert,0,2,2,a004
p013,a007,2026-02-11T13:11:28+00:00,More people need to post this now. Share this before they delete it.,#alert,0,2,2,a004
